Facility Code,Facility Name,Province,County,District,Division,Type,Owner,Location,Sub Location,Description of Location,Constituency,Nearest Town,Beds,Cots,Official Landline,Official Fax,Official Mobile,Official Email,Official Address,Official Alternate No,Town,Post Code,In Charge,Job Title of in Charge,Open 24 Hours,Open Weekends,Operational Status,ANC,ART,BEOC,BLOOD,CAES SEC,CEOC,C-IMCI,EPI,FP,GROWM,HBC,HCT,IPD,OPD,OUTREACH,PMTCT,RAD/XRAY,RHTC/RHDC,TB DIAG,TB LABS,TB TREAT,YOUTH
19310, St Jude's Huruma Community Health Services,Nairobi,Nairobi,Mathare,Huruma,Medical Clinic,Private Practice - Unspecified,Huruma,Huruma,Situated near Ndururumo Primary School (Juja Rd/OuterRd Junction),MATHARE,Kariobangi Market,0,0,020237354,,,stjudes2008@yahoo.com,,,,,Caroline Achieng,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13043,7Kr Mrs Health Centre,Nairobi,Nairobi,Langata,Lang'ata,Health Centre,Armed Forces,Mugumoini,Mugumoini,"Next to Nairobi Opharnage,Off Lang'ata rd.",LANG'ATA,Lang'ata Shopping Center,14,0,,,,,P.O Box 44008,,Nairobi,00100,Captain Murunga,Nursing Officer in Charge,Y,Y,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
20346,AAR Adams Health Centre,Nairobi,Nairobi,Kibra,Woodly,Medical Clinic,Private Practice - General Practitioner,Woodly,Woodly,Greenhouse Adams 1st Floor,KIBRA,Adams,0,0,0202608570,,0731191077,,P.O Box 41766,0706659786,Nairobi,00100,Dr Mbuthia Wacera,Medical Superintendant,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12861,AAR City Centre Clinic,Nairobi,Nairobi,Starehe,Starehe,Medical Clinic,Private Enterprise (Institution),Central Business District,,Stiuated at ICEA Building along Kenyatta Avenue(6th Froor),STAREHE,Nairobi,0,0,02031893124,,,emutugi@aar.co.ke,P.O Box 41766,,Nairobi,00100,Dr. Alma Okudo,Doctor In Charge,N,Y,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
16796,AAR Clinic Sarit Centre (Westlands),Nairobi,Nairobi,Westlands,Parklands,Medical Clinic,Private Enterprise (Institution),Parklands,Upper Parklands,In Sarit Centre westlands,WESTLANDS,Nairobi,0,0,,,,,,,,,,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
19958,AAR Gwh Health Care Ltd,Nairobi,Nairobi,Dagoretti North,Kilimani,Health Centre,Private Enterprise (Institution),,,,DAGORETTI NORTH,,0,0,,,0722778040,ciokudo@caricoike,,,Nairobi,,Dr. Alma Okudo,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
20405,AAR Health Care,Nairobi,Nairobi,Embakasi East,Embakasi,Health Centre,Private Practice - Medical Specialist,Embakasi,Tassia,,EMBAKASI EAST,Donholm,6,2,733888259,,073388259,dkamau@aar.co.ke,,,Nairobi,00100,Dr Kamau David,Hospital Director,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18859,AAR Healthcare Limited (Karen),Nairobi,Nairobi,Langata,Lang'ata,Medical Clinic,Private Enterprise (Institution),Lang'ata,Lang'ata,"Next to Nairobi Pentecostal Church Karen, Opposite Catholic University along Langata Road.",LANG'ATA,Great Jubilee shopping  center,0,0,0202631852,,0729876092,info@aar.co.ke,P.O Box 41766,0735963412,Nairobi,00100,Eunice Kamau,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12862,AAR Kariobangi Clinic,Nairobi,Nairobi,Ruaraka,Kasarani,Medical Clinic,Private Enterprise (Institution),Kasarani,,,RUARAKA,Nairobi,0,0,,,,,,,,,,,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
20140,AAR Mountain mall,Nairobi,Nairobi,Roysambu,Roysambu,Medical Clinic,Private Practice - Nurse / Midwife,Roysambu,Garden,In  the mountain mall Naivas mall building,ROYSAMBU,Rosters,0,0,,,0733888258,smutunga@aar.co.ke,P.O Box 41766,0721760490,Nairobi,00100,Stephanie Mutunga,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
21224,AAR Outpatient Center Donholm,Nairobi,Nairobi,Embakasi East,Embakasi East,Medical Clinic,Private Practice - General Practitioner,Upper Savanna,Donholm,Donholm next to total petrol station formerly caltex,EMBAKASI EAST,Donholm,4,2,,,0733881420,,P.O Box 41766,0770256646,Nairobi,00100,Sarah Orinda,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
12865,Afwan Medical Centre,Nairobi,Nairobi,Kamukunji,Pumwani,Nursing Home,Private Enterprise (Institution),Pumwani,Pumwani,Opposite Pumwani Maternity,KAMUKUNJI,Eastleigh,40,4,020808448,,0723937630,afwanmedical@gmail.com,P.O Box 46041,0735049143,Nairobi,00100,Dr. Ali Omar Salim,Hospital Director,Y,Y,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
19515,Afya Bora Health Care,Nairobi,Nairobi,Westlands,Kangemi,Medical Clinic,Non-Governmental Organizations,Kangemi,,,WESTLANDS,,12,1,,,,,,,,,,,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19551,Afya Bora Medical Clinic (Westlands),Nairobi,Nairobi,Westlands,Kangemi,Medical Clinic,Private Enterprise (Institution),Kangemi,,,WESTLANDS,,1,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18486,Afya Health Care,Nairobi,Nairobi,Roysambu,Kasarani,Dispensary,Private Enterprise (Institution),Githurai,Githurai,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",ROYSAMBU,"off kamiti rd ,Githurai 44 behind uncle sam near kimsa supermarket  opp Genesis Flats",0,0,,,0722279095,nteeremutuma@yahoo.com,P.O Box 50248,0706240466,Nairobi,00100,Sammy Mutuma Nteere,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19356,Alphine Dental Centre (Kencom Hse),Nairobi,Nairobi,Starehe,Central,Dental Clinic,Private Practice - Unspecified,Central,Central,Located at KENCOM Hse(Nairobi),STAREHE,,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19462,Avenue Health Care (Makadara),Nairobi,Nairobi,Makadara,Viwandani,Medical Clinic,Private Practice - General Practitioner,Viwandani,Viwandani,,MAKADARA,Lungalunga,0,0,,,,,,,,,Magdaline Kariuki,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
12874,Avenue Hospital,Nairobi,Nairobi,Westlands,Parklands,Other Hospital,Private Enterprise (Institution),Parklands,Parklands,Along first Avenue parklands Road,WESTLANDS,Nairobi,65,10,0732175100,,0732175101,parklands@avenuehealthcare.com,P.O Box 45280,0732175191,Nairobi,00100,Diana Patel,Hospital Director,Y,Y,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
12881,Baraka Dispensary (Nairobi),Nairobi,Nairobi,Ruaraka,Kasarani,Dispensary,Private Enterprise (Institution),Ruaraka,,Next to mathare North H/C,RUARAKA,Nairobi,0,0,,,,,,,,,,Nursing Officer in Charge,N,N,Operational,,Y,,,,,,,,,,,,,,,,,,,,
19529,Baraka Medical Cenre,Nairobi,Nairobi,Westlands,kangemi,Medical Clinic,Private Practice - Medical Specialist,Kangemi,,,WESTLANDS,,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
17934,Baraka Medical Centre,Nairobi,Nairobi,Ruaraka,Kasarani,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Ruaraka,Utalii,Next to N.Y.S Enguneering Institute,RUARAKA,4 A Mathare,0,0,,,,germandocs@wananchi.com,P.O Box 1699,,Nairobi,00621,DR Barbara Kirach,,N,N,Not-Operational,,,,,,,,,,,,,,,,,,,,,,
18622,Skyhill Medical Centre,Nairobi,Nairobi,Dagoretti North,Kawangware,Health Centre,Private Practice - Medical Specialist,Kawangware,Gatina,,DAGORETTI NORTH,Stage 2,10,2,,,0718169514,ziporahmudi@yahoo.com,P.O Box 41304-00100,0728274410,Nairobi,00100,ziporah mudi,Clinical Officer,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19639,Skylit Medical Clinic,Nairobi,Nairobi,Kamukunji,Eastleigh North,Medical Clinic,Private Enterprise (Institution),Eastleigh North,Eastleigh North,,KAMUKUNJI,Garissa Lodge,3,1,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18000,Skymed Medical Clinic Githunguri,Nairobi,Nairobi,Kasarani,Ruai,Medical Clinic,Private Practice - General Practitioner,Githunguri,Githunguri,At Githunguri near Chief's Camp,KASARANI,Utawala Shopping Centre,0,0,,,,,P.O Box 8665,,Nairobi,00200,Bonface Kinyua,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19994,Slum Medical Clinic,Nairobi,Nairobi,Kibra,Kibra,Medical Clinic,Private Practice - Nurse / Midwife,Kibera,Lindi,Near the Mosque,KIBRA,,0,0,,,,,P.O Box 67611,,Nairobi,00200,George Otieno,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19552,Smiles Medical Centre,Nairobi,Nairobi,Westlands,,Medical Clinic,Private Enterprise (Institution),,,,WESTLANDS,,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19393,Social Service League (Nairobi ),Nairobi,Nairobi,Starehe,Central,Dispensary,Private Enterprise (Institution),Central,Central,Located Near Central Bus Station,STAREHE,Bus station,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19331,Soin Health Care - Mfangano Street),Nairobi,Nairobi,Starehe,Central,Medical Clinic,Private Practice - General Practitioner,Central,Central,,STAREHE,City Market,0,0,,,,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13188,Sokoni Arcade VCT,Nairobi,Nairobi,Dagoretti North,Dagoretti,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kawangware,,,DAGORETTI NORTH,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,Y,,,,,,,,,,,
13189,SOS Dispensary,Nairobi,Nairobi,Embakasi West,Bahati,Dispensary,Non-Governmental Organizations,Bahati,,,EMBAKASI WEST,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,Y,,Y,,,,Y,,,,,,,,,
13212,St Jude's Health Centre,Nairobi,Nairobi,Dagoretti North,Dagoretti,Health Centre,Private Enterprise (Institution),Kawangware,,,DAGORETTI NORTH,Kinyanjui Road,7,0,,,,,,,,,Geoffrey,Nursing Officer in Charge,Y,Y,Operational,,Y,,,,,Y,,Y,,Y,,Y,,,,,,,,,
13211,St Jude's Medical Centre,Nairobi,Nairobi,Embakasi Central,Embakasi,Medical Clinic,Private Enterprise (Institution),Kayole,Komarock,Komarock Sector 3A Mwangaza Road,EMBAKASI CENTRAL,Nairobi,0,0,0722801058,,0722801058,stjudesmedicalcentre@gmail.com,P.O Box 35120,,Nairobi,00200,Bernard Webuye,Clinical Officer,Y,Y,Operational,,,,,,,,,Y,,Y,,Y,,,,,,,,,
19280,St Louis Community Hospital,Nairobi,Nairobi,Roysambu,Kasarani,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,Thika road off kamiti road just behind auncle sams bar,ROYSAMBU,just behind auncle sams bar,0,0,,,,,,,,,Eddmond Atika,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19422,Starehe Boys Centre School Clinic,Nairobi,Nairobi,Starehe,Kariokor,Medical Clinic,Academic (if registered),Kariokor,Kariokor,Located along General Waruingi St.,STAREHE,Kariokor market,0,0,,,072137122,,P.O Box 30178,,Nairobi,00100,Kiruki Gachina,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19276,Stars General Medical Clinic,Nairobi,Nairobi,Roysambu,Roysambu,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,Thika rd off kamiti road just opp catholic church zimerman (base stage),ROYSAMBU,just opp catholic church zimerman (base stage),0,0,,,,,,,,,Samson Ogechi,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13231,State House Clinic,Nairobi,Nairobi,Dagoretti North,Kilimani,Dispensary,Local Authority,Kilimani,,,DAGORETTI NORTH,Nairobi,0,0,,,,,,,,,Irene Gatheru,Nursing Officer in Charge,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
13232,State House Dispensary (Nairobi),Nairobi,Nairobi,Dagoretti North,Kilimani,Dispensary,Ministry of Health,Kilimani,Kilimani,"Along State House Road, in  Nairobi State House",DAGORETTI NORTH,Near Hurlingham,0,0,020227436,,,,P.O Box 40530,,Nairobi,00100,Martin Gitonga,Clinical Officer,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
18574,Strathmore University Medical Centre,Nairobi,Nairobi,Langata,Lang'ata,Medical Clinic,Private Enterprise (Institution),Nairobi West,Nairobi West,"Off Mbagathi Way opposite the Administration Police Uhuru Camp, Within the Strathmore College",LANG'ATA,Nairobi West T Mall,0,0,020606155,020607498,0703034000,hkoyoson@strathmore.edu,P.O Box 59857,,Nairobi,00200,Christine G. Kaburu,Nursing Officer in Charge,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
21085,The Aga Khan University Hospital T Mall,Nairobi,Nairobi,Langata,Mugumoini,Medical Centre,Private Enterprise (Institution),,,Along mbagathi way,LANG'ATA,TMall,0,0,,,,,,,,,Gerald Mwangu,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19376,The Arcade Medical Centre,Nairobi,Nairobi,Ruaraka,Ruaraka ,Medical Clinic,Private Practice - General Practitioner,Ruaraka,jangwani,Next to stage 29/30,RUARAKA,Next to stage 29/30,0,0,,,,,,,,,Temu Jared ,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18304,The Co-Operative University College of Kenya Dispe,Nairobi,Nairobi,Langata,Lang'ata,Dispensary,Parastatal,Lang'ata,Hardy,Ushirika Rd. Off Lang'ata South Rd. (After Hardy shopping Center).,LANG'ATA,Hardy,0,0,020891401,,0202430127,coopcoll@cooperative.ac.ke,P.O Box 24814,0724311606,Nairobi,00502,Tabitha W. Kiarie,Clinical Officer,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
13004,The Karen Hospital,Nairobi,Nairobi,Langata,Lang'ata,Other Hospital,Private Enterprise (Institution),Karen,Karen,Off Lang'ata Karen rd.Opposite Cotolengo Center,LANG'ATA,Karen shopping center,102,0,0206613000,0206613222,0736200001,info@karenhospital.org,P.O Box 74240,0726222001,Nairobi,00200,Juliet Nyagah,,Y,Y,Operational,,,,,,,Y,,Y,,Y,,Y,,,,,,,,,
19434,The Mater Embakasi Clinic,Nairobi,Nairobi,Embakasi South,MUkuru,Medical Clinic,Kenya Episcopal Conference-Catholic Secretariat,PIpeline,Pipeline,On Uchimii Tachmool 1st floor Next to eastern Flayover at Donholm Airport Juction ,EMBAKASI SOUTH,Donholm,4,2,0732163500,,,samina@materkenya.com,P.O Box 30325,0714300333,Nairobi,00100,Sitienei Amina,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19543,The Mater Hospital (Westlands),Nairobi,Nairobi,Westlands,Parklands,Medical Clinic,Private Practice - General Practitioner,,,,WESTLANDS,,0,0,,,,,,,,,,,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
17657,The Mater Hospital Buruburu,Nairobi,Nairobi,Makadara,Makadara,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Makadara,Harambee,Buruburu Market at Uchumi House,MAKADARA,Buruburu Market,0,0,0208099164,,0733809916,rwambui@materkenya.com,P.O Box 30325,0719888444,nairobi,00100,robertine wambui,Nursing Officer in Charge,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13074,The Mater Hospital Mukuru,Nairobi,Nairobi,Starehe,South B,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Mukuru Nyayo,Mukuru Nyayo,Dunga Road Industrial Area,STAREHE,South B Shopping Centre,166,42,0206531199,0206534289,0722828629,ceosectretary@materkenya.com,P.O Box 30325,0733641870,Nairobi,00100,DR John Muriithi,Hospital Director,Y,Y,Operational,,Y,,,,,Y,,,,Y,,Y,,,,,,,,,
19101,The Nairobi Hospital Out-Patient Centre Galeria,Nairobi,Nairobi,Langata,Lang'ata,Medical Clinic,Private Enterprise (Institution),Lang'ata,Lang'ata,At The Galeria Shopping Mall Off Langata Road.,LANG'ATA,,0,0,,,0703073000,,,,,,,,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
19396,Tumaini Mwangaza ( Korogocho),Nairobi,Nairobi,Ruaraka,Ruaraka,Medical Clinic,Private Practice - General Practitioner,Korogocho,Korogocho,Near chief's camp,RUARAKA,Near chief's camp,12,2,,,,,,,,,Hannah Gachoka,Nursing Officer in Charge,Y,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
13248,Vision Peoples Inter Health Centre,Nairobi,Nairobi,Ruaraka,Kasarani,Health Centre,Other Faith Based,Ruaraka,,,RUARAKA,Nairobi,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,Y,,,,Y,,,,,,,,,
17687,Viva Afya Kayole,Nairobi,Nairobi,Embakasi Central,Kayole,Medical Clinic,Private Practice - Clinical Officer,Kayole,Kayole I,Near Kayole 1 Dmoh's Office,EMBAKASI CENTRAL,Corner Kayole Market,0,0,0202678774,,,"gkamero@livewellclinics,com",P.O Box 64406,,Nairobi,00620,Crispin Odaa,Clinical Officer,N,Y,Operational,,,,,,,,,,,,,,,,,,,,,,
18368,Viva Afya Medical Clinic (Matopeni),Nairobi,Nairobi,Embakasi West,Njiru,Medical Clinic,Private Practice - General Practitioner,Njiru,Matopeni,"Junction of Kangundo road and Kayole,near police post",EMBAKASI WEST,Njiru,0,0,,,,,,,,,,,N,N,Operational,,,,,,,,,,,,,,,,,,,,,,
